,latitude,longitude,restaurant,cafe,bar
58,34.2017,-118.492,0,0,0
59,47.616,-122.3275,0,0,0
60,34.1881,-118.3905,0,1,0
61,39.736,-104.9819,61,25,19
62,39.6828,-104.8078,0,0,0
63,37.9353,-121.6935,3,0,1
64,37.9917,-122.5247,0,1,0
65,39.1088,-77.2384,0,0,0
66,42.6484,-71.1615,0,0,0
67,37.7904,-122.2151,5,0,0
68,37.9724,-122.3304,0,0,0
69,41.8625,-87.6825,0,0,0
70,38.7999,-77.1072,0,0,0
71,41.8625,-87.6825,0,0,0
72,34.2009,-118.8636,3,3,0
73,39.736,-104.9819,0,0,0
74,38.786,-77.2858,1,1,0
75,47.5988,-122.1507,1,0,0
76,39.8163,-98.5576,0,0,0
77,38.3918,-121.2234,0,0,0
78,34.1677,-118.6141,18,3,0
79,25.7603,-80.3005,5,0,0
80,38.9633,-76.9375,8,2,0
81,39.8644,-105.0454,4,4,0
82,39.6828,-104.8078,0,0,0
83,39.8228,-105.1107,0,0,0
84,33.7606,-118.0806,2,1,0
85,33.1463,-117.1694,0,0,1
86,39.8587,-74.8101,0,0,0
87,39.1634,-76.6165,0,0,0
88,39.5816,-105.0387,0,0,0
89,39.6828,-104.8078,0,0,0
90,37.9682,-122.0091,1,0,0
91,39.9999,-105.0993,13,3,0
92,32.6197,-117.0226,1,1,0
93,39.1634,-76.6165,0,0,0
94,39.5516,-104.969,0,0,0
95,39.0976,-76.8614,17,2,0
96,28.5163,-81.3644,3,0,1
97,40.0213,-105.2552,41,11,2
98,39.6828,-104.8078,0,0,0
99,34.0291,-117.9457,0,0,0
100,33.8323,-117.9079,13,5,2
101,39.8312,-104.8942,0,0,0
102,39.8228,-105.1107,0,0,0
103,38.8738,-77.1055,0,0,0
104,26.1806,-81.7257,0,0,0
105,33.7848,-84.3922,29,7,3
106,27.3181,-82.4987,2,1,0
107,39.6828,-104.8078,0,0,0
108,38.69,-77.2065,0,0,0
109,40.0994,-104.8079,0,0,0
110,38.6487,-77.3152,11,0,2
111,36.137,-86.783,1,0,0
112,27.7873,-82.6772,5,0,0
113,45.5091,-122.6449,20,8,6
114,39.4324,-76.3552,0,0,0
115,33.7848,-84.3922,0,0,0
116,39.9156,-105.0876,4,1,0
117,39.6169,-104.919,3,0,0
118,39.0287,-77.2409,0,0,0
119,28.905,-81.2156,0,0,0
120,38.1255,-121.2878,1,0,0
121,30.2989,-81.6324,0,0,0
122,39.4904,-104.7265,0,0,0
123,38.6968,-104.6969,0,0,0
124,40.5649,-105.0824,5,5,0
125,40.4067,-105.0984,7,2,1
126,28.7026,-81.3885,0,0,0
127,39.6103,-75.6896,0,0,0
128,40.2776,-76.7088,0,0,0
129,33.945,-117.4074,7,1,0
130,27.2897,-80.3421,0,0,0
131,39.1774,-77.2569,9,1,0
132,35.2016,-80.8124,0,0,0
133,36.137,-86.783,0,0,0
134,33.8691,-84.7686,2,0,0
135,29.4782,-98.2759,0,0,0
136,29.7714,-95.4343,1,0,0
137,33.4234,-111.5415,2,0,1
138,30.3054,-97.7497,10,2,0
139,39.9156,-105.0876,0,0,0
140,33.5783,-111.8902,8,4,1
141,28.5163,-81.3644,0,0,0
142,39.3191,-76.6126,36,9,7
143,39.6041,-104.8594,1,0,0
144,39.6894,-105.1119,3,1,1
145,30.0066,-97.8071,0,0,0
146,42.5286,-92.4509,2,0,1
147,41.7834,-87.8099,0,0,0
148,34.0505,-81.0098,0,0,0
149,33.5178,-112.0848,0,0,0
150,29.7714,-95.4343,0,0,0
151,45.1748,-93.3109,0,0,0
152,33.5178,-112.0848,0,0,0
153,39.3191,-76.6126,0,0,0
154,44.9545,-123.0072,2,0,0
155,29.4832,-82.8641,2,0,0
156,29.4624,-98.5253,0,1,1
157,36.0402,-86.6385,0,0,0
158,33.6285,-78.9873,0,0,0
159,35.2016,-80.8124,0,0,0
160,27.0717,-82.3833,0,0,0
161,,,0,0,0
162,33.5178,-112.0848,0,0,0
163,28.473,-82.5474,0,0,0
164,32.2264,-110.9438,0,0,0
165,33.9369,-84.306,0,0,0
166,36.9873,-122.016,9,3,1
167,28.0076,-82.4792,0,0,0
168,47.1165,-88.5631,4,5,2
169,35.823,-78.6438,0,0,0
170,37.6465,-78.2899,0,0,0
171,27.6361,-80.4261,0,0,0
172,39.9849,-75.8127,2,0,0
173,28.681,-81.2808,0,0,0
174,39.2019,-76.951,3,1,0
175,38.7701,-77.2263,1,0,0
176,33.8829,-78.6369,0,0,0
177,29.5056,-94.9889,3,0,1
178,34.8856,-112.4675,0,0,0
179,38.2006,-84.9469,0,0,0
180,33.5178,-112.0848,0,0,0
181,39.3903,-77.1487,0,0,0
182,47.616,-122.3275,0,0,0
183,47.7046,-122.1989,9,3,1
184,37.7599,-122.4379,0,0,0
185,43.0724,-89.4003,65,20,21
186,38.9118,-77.0132,0,0,0
187,37.7078,-122.1435,2,1,0
188,39.1471,-86.5136,0,0,0
189,33.6019,-117.8637,9,0,0
190,34.0372,-118.2972,8,0,0
191,33.3423,-111.7755,5,1,0
192,41.8625,-87.6825,0,0,0
193,39.1263,-84.5172,37,7,8
194,38.8077,-76.9886,2,0,0
195,61.1723,-149.8414,0,0,0
196,41.8625,-87.6825,0,0,0
197,47.616,-122.3275,0,0,0
198,40.3911,-80.1989,0,0,0
199,28.0076,-82.4792,0,0,0
